可缩码："人造革"  rzgie ->   rzgi (ren zao ge)
可缩码："演奏家"  rzjav ->   rzja (yan zou jia)
可缩码："日租卡"  rzkoe ->   rzko (ri zu ka)
可缩码："亚足联"  rzlvo ->   rzlv (ya zu lian)
可缩码："人造棉"  rzmie ->   rzmi (ren zao mian)
可缩码："孺子牛"  rznaa ->   rzna (ru zi niu)
可缩码："容祖儿"  rzxoo ->   rzxo (rong zu er)
可缩码："三只眼"  s;rvo ->   s;rv (san zhi yan)
可缩码："四大洋"  sdriv ->   sdri (si da yang)
可缩码："桑拿浴"  snrai ->   snra (sang na yu)
可缩码："缩印本"  srbae ->   srba (suo yin ben)
可缩码："虽如此"  srcoa ->   srco (sui ru ci)
可缩码："私有化"  srhev ->   srhe (si you hua)
可缩码："骚扰你"  srnai ->   srna (sao rao ni)
可缩码："死硬派"  srpvv ->   srpv (si ying pai)
可缩码："死丫头"  srtvo ->   srtv (si ya tou)
可缩码："所以说"  sruea ->   srue (suo yi shuo)
可缩码："随意性"  srxao ->   srxa (sui yi xing)
可缩码："孙燕姿"  srzav ->   srza (sun yan zi)
可缩码："三产业"  syrvo ->   syrv (san chan ye)
可缩码："统治者"  t;;aa ->   t;;a (tong zhi zhe)
可缩码："挑战杯"  t;bii ->   t;bi (tiao zhan bei)
可缩码："通知单"  t;dae ->   t;da (tong zhi dan)
可缩码："同质化"  t;hie ->   t;hi (tong zhi hua)
可缩码："特长生"  t;uee ->   t;ue (te zhang sheng)
可缩码："投保人"  tbrii ->   tbri (tou bao ren)
可缩码："糖醋鱼"  tcrov ->   tcro (tang cu yu)
可缩码："天地人"  tdrvv ->   tdrv (tian di ren)
可缩码："铁观音"  tgria ->   tgri (tie guan yin)
可缩码："她居然"  tjraa ->   tjra (ta ju ran)
可缩码："碳烤鱼"  tkrvo ->   tkrv (tan kao yu)
可缩码："特洛伊"  tlrea ->   tlre (te luo yi)
可缩码："她那样"  tnraa ->   tnra (ta na yang)
可缩码："掏腰包"  trbie ->   trbi (tao yao bao)
可缩码："同样地"  trdiv ->   trdi (tong yang de)
可缩码："体育课"  trkio ->   trki (ti yu ke)
可缩码："太阳伞"  trsva ->   trsv (tai yang san)
可缩码："他以为"  trwia ->   trwi (ta yi wei)
可缩码："通用性"  trxae ->   trxa (tong yong xing)
可缩码："碳酸盐"  tsrvv ->   tsrv (tan suan yan)
可缩码："体态语"  ttriv ->   ttri (ti tai yu)
可缩码："同位语"  twrii ->   twri (tong wei yu)
可缩码："陶行知"  tx;ae ->   tx;a (tao xing zhi)
可缩码："替罪羊"  tzrvi ->   tzrv (ti zui yang)
可缩码："双职工"  u;gav ->   u;ga (shuang zhi gong)
可缩码："上周末"  u;mie ->   u;mi (shang zhou mo)
可缩码："生长素"  u;see ->   u;se (sheng zhang su)
可缩码："市政厅"  u;tov ->   u;to (shi zheng ting)
可缩码："摄制组"  u;zie ->   u;zi (she zhi zu)
可缩码："收报人"  ubrai ->   ubra (shou bao ren)
可缩码："沙丁鱼"  udrav ->   udra (sha ding yu)
可缩码："审稿人"  ugroe ->   ugro (shen gao ren)
可缩码："售货员"  uhrii ->   uhri (shou huo yuan)
可缩码："神经元"  ujroa ->   ujro (shen jing yuan)
可缩码："是可忍"  ukrov ->   ukro (shi ke ren)
可缩码："守林人"  ulrov ->   ulro (shou lin ren)
可缩码："少年人"  unrie ->   unri (shao nian ren)
可缩码："收入占"  ur;ae ->   ur;a (shou ru zhan)
可缩码："是一次"  urcov ->   urco (shi yi ci)
可缩码："生日歌"  urgeo ->   urge (sheng ri ge)
可缩码："生日会"  urheo ->   urhe (sheng ri hui)
可缩码："实验课"  urkoa ->   urko (shi yan ke)
可缩码："失业率"  urlei ->   urle (shi ye lv)
可缩码："食人魔"  urmii ->   urmi (shi ren mo)
可缩码："上一年"  urniv ->   urni (shang yi nian)
可缩码："收容所"  ursao ->   ursa (shou rong suo)
可缩码："双鱼座"  urzae ->   urza (shuang yu zuo)
可缩码："收缩压"  usraa ->   usra (shou suo ya)
可缩码："受托人"  utrei ->   utre (shou tuo ren)
可缩码："十五日"  uwrev ->   uwre (shi wu ri)
可缩码："水产品"  uypao ->   uypa (shui chan pin)
可缩码："受赠人"  uzrea ->   uzre (shou zeng ren)
可缩码："文章中"  w;;oo ->   w;;o (wen zhang zhong)
可缩码："稳准狠"  w;heo ->   w;he (wen zhun hen)
可缩码："无助于"  w;rvi ->   w;rv (wu zhu yu)
可缩码："外行员"  whree ->   whre (wai hang yuan)
可缩码："五粮液"  wlrvo ->   wlrv (wu liang ye)
可缩码："文明人"  wmroo ->   wmro (wen ming ren)
可缩码："维也纳"  wrnaa ->   wrna (wei ye na)
可缩码："污染源"  wrraa ->   wrra (wu ran yuan)
